ERR2604085	ERR2604085__k119_281767	superkingdom	-_cellular organisms;d_Bacteria
ERR2604085	ERR2604085__k119_36025	species	-_cellular organisms;d_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria;o_Methylococcales;f_Methylococcaceae;g_Methylomonas;-_unclassified Methylomonas;s_Methylomonas sp.
ERR2604103	ERR2604103__k119_243219	phylum	-_cellular organisms;d_Bacteria;p_Pseudomonadota
ERR2604103	ERR2604103__k119_199992	superkingdom	-_cellular organisms;d_Bacteria
ERR2604104	ERR2604104__k119_30585	superkingdom	-_cellular organisms;d_Bacteria
ERR2604104	ERR2604104__k119_162779	order	-_cellular organisms;d_Bacteria;p_Pseudomonadota;c_Alphaproteobacteria;o_Rhodobacterales
ERR2604104	ERR2604104__k119_213970	class	-_cellular organisms;d_Bacteria;p_Pseudomonadota;c_Alphaproteobacteria
ERR2604104	ERR2604104__k119_244681	strain	-_cellular organisms;d_Bacteria;p_Pseudomonadota;c_Alphaproteobacteria;o_Candidatus Pelagibacterales;f_Pelagibacteraceae;g_Candidatus Pelagibacter;s_Candidatus Pelagibacter ubique;-_Candidatus Pelagibacter ubique HTCC1062
ERR2604104	ERR2604104__k119_905	order	-_cellular organisms;d_Bacteria;-_Terrabacteria group;-_Cyanobacteriota/Melainabacteria group;p_Cyanobacteriota;c_Cyanophyceae;o_Synechococcales
ERR2604104	ERR2604104__k119_173743	superkingdom	-_cellular organisms;d_Bacteria
ERR2604104	ERR2604104__k119_93411	phylum	-_cellular organisms;d_Bacteria;p_Pseudomonadota
ERR2604104	ERR2604104__k119_174399	superkingdom	-_cellular organisms;d_Bacteria
ERR2604094	ERR2604094__k119_34793	superkingdom	-_cellular organisms;d_Bacteria
ERR2604094	ERR2604094__k119_42963	family	-_cellular organisms;d_Bacteria;p_Pseudomonadota;c_Alphaproteobacteria;o_Rhodobacterales;f_Paracoccaceae
ERR2604094	ERR2604094__k119_28573	family	-_cellular organisms;d_Bacteria;-_FCB group;-_Bacteroidota/Chlorobiota group;p_Bacteroidota;c_Flavobacteriia;o_Flavobacteriales;f_Flavobacteriaceae
ERR2604095	ERR2604095__k119_164105	no rank	-_cellular organisms
ERR2604095	ERR2604095__k119_26977	family	-_cellular organisms;d_Bacteria;-_FCB group;-_Bacteroidota/Chlorobiota group;p_Bacteroidota;c_Flavobacteriia;o_Flavobacteriales;f_Flavobacteriaceae
ERR2604095	ERR2604095__k119_148585	order	-_cellular organisms;d_Bacteria;p_Pseudomonadota;c_Alphaproteobacteria;o_Rhodobacterales
ERR2604095	ERR2604095__k119_62165	class	-_cellular organisms;d_Bacteria;p_Pseudomonadota;c_Alphaproteobacteria
ERR2604095	ERR2604095__k119_36645	class	-_cellular organisms;d_Bacteria;p_Pseudomonadota;c_Alphaproteobacteria
ERR2604095	ERR2604095__k119_54450	superkingdom	-_cellular organisms;d_Bacteria
ERR2604095	ERR2604095__k119_158639	superkingdom	-_cellular organisms;d_Bacteria
ERR2604091	ERR2604091__k119_164433	phylum	-_cellular organisms;d_Bacteria;p_Pseudomonadota
ERR2604091	ERR2604091__k119_170327	order	-_cellular organisms;d_Bacteria;p_Pseudomonadota;c_Alphaproteobacteria;o_Rhodobacterales
ERR2604091	ERR2604091__k119_170462	strain	-_cellular organisms;d_Bacteria;-_FCB group;-_Bacteroidota/Chlorobiota group;p_Bacteroidota;c_Flavobacteriia;o_Flavobacteriales;f_Flavobacteriaceae;g_Christiangramia;s_Christiangramia forsetii;-_Christiangramia forsetii KT0803
ERR2604091	ERR2604091__k119_152104	superkingdom	-_cellular organisms;d_Bacteria
ERR2604091	ERR2604091__k119_145788	superkingdom	-_cellular organisms;d_Bacteria
ERR2604091	ERR2604091__k119_77388	superkingdom	-_cellular organisms;d_Bacteria
ERR2604091	ERR2604091__k119_183926	family	-_cellular organisms;d_Bacteria;p_Pseudomonadota;c_Alphaproteobacteria;o_Rhodobacterales;f_Paracoccaceae
ERR2604091	ERR2604091__k119_58343	no rank	-_cellular organisms
ERR2604091	ERR2604091__k119_64928	no rank	-_cellular organisms
ERR2604091	ERR2604091__k119_33579	superkingdom	-_cellular organisms;d_Archaea
ERR2604080	ERR2604080__k119_83019	superkingdom	-_cellular organisms;d_Bacteria
ERR2604080	ERR2604080__k119_268532	order	-_cellular organisms;d_Bacteria;-_Terrabacteria group;p_Actinomycetota;c_Actinomycetes;o_Mycobacteriales
ERR2604080	ERR2604080__k119_21777	superkingdom	-_cellular organisms;d_Bacteria
ERR2604080	ERR2604080__k119_11793	class	-_cellular organisms;d_Bacteria;p_Pseudomonadota;c_Alphaproteobacteria
ERR2604080	ERR2604080__k119_249125	superkingdom	-_cellular organisms;d_Bacteria
ERR2604080	ERR2604080__k119_145915	phylum	-_cellular organisms;d_Bacteria;p_Pseudomonadota
ERR2604080	ERR2604080__k119_95409	class	-_cellular organisms;d_Bacteria;p_Pseudomonadota;c_Alphaproteobacteria
ERR2604080	ERR2604080__k119_198913	superkingdom	-_cellular organisms;d_Bacteria
ERR2604080	ERR2604080__k119_209557	phylum	-_cellular organisms;d_Bacteria;p_Pseudomonadota
ERR2604080	ERR2604080__k119_96067	family	-_cellular organisms;d_Bacteria;p_Pseudomonadota;c_Alphaproteobacteria;o_Rhodobacterales;f_Paracoccaceae
ERR2604091	ERR2604091__k119_184598	no rank	-_cellular organisms
ERR2604091	ERR2604091__k119_84060	phylum	-_cellular organisms;d_Bacteria;p_Pseudomonadota
ERR2604091	ERR2604091__k119_178498	superkingdom	-_cellular organisms;d_Bacteria
ERR2604091	ERR2604091__k119_116093	superkingdom	-_cellular organisms;d_Bacteria
ERR2604091	ERR2604091__k119_97419	superkingdom	-_cellular organisms;d_Archaea
ERR2604091	ERR2604091__k119_3330	no rank	-_cellular organisms
ERR2604091	ERR2604091__k119_71967	no rank	-_cellular organisms
ERR2604091	ERR2604091__k119_160391	no rank	-_cellular organisms
ERR2604091	ERR2604091__k119_142180	strain	-_cellular organisms;d_Bacteria;-_Terrabacteria group;-_Cyanobacteriota/Melainabacteria group;p_Cyanobacteriota;c_Cyanophyceae;o_Synechococcales;f_Synechococcaceae;g_Synechococcus;s_Synechococcus elongatus;-_Synechococcus elongatus PCC 7942 = FACHB-805
ERR2604091	ERR2604091__k119_72109	no rank	-_cellular organisms
